processor name,	cores,	frequency,	generation	
i7-4785T,	4,	2.20,	4th
i7-4790,	4,	3.60,	4th
i7-4790K,	4,	4.00,	4th
i7-4790S,	4,	3.20,	4th
i7-4790T,	4,	2.70,	4th
i3-4130,	2,	3.40,	4th
i3-4130T,	2,	2.90,	4th
i3-4330,	2,	3.50,	4th
i3-4330T,	2,	3.00,	4th
i3-4340,	2,	3.60,	4th
i5-4440,	4,	3.10,	4th
i5-4440S,	4,	2.80,	4th
i7-4771,	4,	3.50,	4th
i7-4820K,	4,	3.70,	4th
i7-4930K,	6,	3.40,	4th
i7-4960X,	6,	3.60,	X-series
i5-4430,	4,	3.00,	4th
i5-4430S,	4,	2.70,	4th
i5-4570,	4,	3.20,	4th
i5-4570R,	4,	2.70,	4th
i5-4570S,	4,	2.90,	4th
i5-4570T,	2,	2.90,	4th
i5-4670,	4,	3.40,	4th
i5-4670K,	4,	3.40,	4th
i5-4670R,	4,	3.00,	4th
i5-4670S,	4,	3.10,	4th
i5-4670T,	4,	2.30,	4th
i7-4765T,	4,	2.00,	4th
i7-4770,	4,	3.40,	4th
i7-4770K,	4,	3.50,	4th
i7-4770R,	4,	3.20,	4th
i7-4770S,	4,	3.10,	4th
i7-4770T,	4,	2.50,	4th
